"id" "sex" "dead" "cens" "xli" "xti" "loc" "potEm" "im" "unsex" "outMigr"
388 "m" 0 0 1.14 0 "s" 1 0 0 1
389 "m" 0 0 1.83 0 "s" 1 0 0 0
390 "m" 0 0 1.14 0 "s" 1 0 0 1
391 "m" 0 0 0.48 0 "s" 1 0 0 0
392 "m" 0 0 9.8 6.46 "s" 0 1 0 0
393 "m" 0 0 6.91 6.51 "s" 0 1 0 0
394 "m" 0 0 0.18 0 "s" 1 0 0 0
395 "m" 0 0 0.48 0 "s" 1 0 0 0
396 "m" 0 0 1.58 0 "s" 1 0 0 0
397 "m" 0 0 5.63 0 "s" 1 0 0 1
398 "m" 0 0 1.41 0 "s" 1 0 0 0
399 "m" 0 0 5.63 0 "s" 1 0 0 1
400 "m" 0 0 0.36 0 "s" 1 0 0 0
401 "m" 0 0 0.36 0 "s" 1 0 0 0
402 "m" 0 0 0.36 0 "s" 1 0 0 0
403 "m" 0 0 0.43 0 "s" 1 0 0 0
404 "m" 0 0 0.43 0 "s" 1 0 0 0
405 "m" 0 0 9.57 0 "s" 1 0 0 0
406 "m" 0 0 6.97 0 "s" 1 0 0 0
407 "m" 0 0 8.73 0 "s" 1 0 0 1
408 "m" 0 0 0.47 0 "s" 1 0 0 0
409 "m" 0 0 8.74 0 "s" 1 0 0 1
410 "m" 0 0 0.47 0 "s" 1 0 0 0
411 "m" 0 0 0.47 0 "s" 1 0 0 0
412 "m" 0 0 2.13 0 "s" 1 0 0 0
413 "m" 0 0 0.31 0 "s" 1 0 0 0
414 "m" 0 0 0.31 0 "s" 1 0 0 0
415 "m" 0 0 0.72 0 "s" 1 0 0 0
416 "m" 0 0 0.46 0 "s" 1 0 0 0
417 "m" 0 1 1.46 0 "s" 0 0 0 0
418 "m" 0 1 1.46 0 "s" 0 0 0 0
419 "m" 0 0 0.48 0 "s" 1 0 0 0
420 "m" 0 0 0.22 0 "s" 1 0 0 0
421 "m" 0 0 0.22 0 "s" 1 0 0 0
422 "m" 0 1 1.02 0 "s" 0 0 0 0
423 "m" 0 1 1.02 0 "s" 0 0 0 0
424 "m" 0 0 0.23 0 "s" 1 0 0 0
425 "m" 0 0 0.2 0 "s" 1 0 0 0
426 "m" 0 0 0.2 0 "s" 1 0 0 0
427 "m" 0 1 0.54 0 "s" 0 0 0 0
428 "m" 0 0 0.47 0 "s" 1 0 0 0
429 "m" 0 1 0.54 0 "s" 0 0 0 0
430 "m" 0 1 0.54 0 "s" 0 0 0 0
431 "m" 0 0 12.21 0 "s" 1 0 0 1
432 "m" 0 0 0.26 0 "s" 1 0 0 0
433 "m" 0 0 3.35 0 "s" 1 0 0 0
434 "m" 0 0 2.56 0 "s" 1 0 0 1
435 "m" 0 0 2.52 0 "s" 1 0 0 1
436 "m" 0 0 2.56 0 "s" 1 0 0 1
437 "m" 0 0 4.07 0 "s" 1 0 0 0
438 "m" 0 0 5.06 0 "s" 1 0 0 0
439 "m" 0 0 0.08 0 "s" 1 0 0 0
440 "m" 0 0 2.98 0 "s" 1 0 0 1
441 "m" 0 0 2.98 0 "s" 1 0 0 1
442 "m" 0 0 0.15 0 "s" 1 0 0 0
443 "m" 0 0 0.15 0 "s" 1 0 0 0
444 "m" 0 0 0.9 0 "s" 1 0 0 0
445 "m" 0 0 2.52 0 "s" 1 0 0 0
446 "m" 0 0 0.72 0 "s" 1 0 0 0
447 "m" 0 0 1.73 0 "s" 1 0 0 0
448 "m" 0 0 4.48 0 "s" 1 0 0 0
449 "m" 0 0 0.91 0 "s" 1 0 0 0
450 "m" 0 0 0.15 0 "s" 1 0 0 0
451 "m" 0 0 0.16 0 "s" 1 0 0 0
452 "m" 0 0 0.16 0 "s" 1 0 0 0
453 "m" 0 0 0.15 0 "s" 1 0 0 0
454 "m" 0 0 0.49 0 "s" 1 0 0 0
455 "m" 0 0 0.49 0 "s" 1 0 0 0
456 "m" 0 0 0.6 0 "s" 1 0 0 0
457 "m" 0 0 0.42 0 "s" 1 0 0 0
458 "m" 0 0 0.15 0 "s" 1 0 0 0
459 "m" 0 0 0.26 0 "s" 1 0 0 0
460 "m" 0 0 0.17 0 "s" 1 0 0 0
461 "m" 0 0 0.17 0 "s" 1 0 0 0
462 "m" 0 0 3.7 0 "s" 1 0 0 1
463 "m" 0 0 3.04 0 "s" 1 0 0 1
464 "m" 0 0 5.88 4.69 "s" 0 1 0 1
465 "m" 0 0 2.96 2.53 "s" 0 1 0 0
466 "m" 0 0 3.19 2.14 "s" 0 1 0 1
467 "m" 0 0 2.18 0 "s" 1 0 0 0
